customer_id,signup_date,acquisition_channel,preferred_device,loyalty_tier,country,state_code,state,city,region
C100000,2024-02-14,Paid Search,Desktop,Standard,United States,AZ,Arizona,Phoenix,West
C100001,2023-02-27,Meta Ads,Mobile,Standard,United States,NC,North Carolina,Raleigh,South
C100002,2024-12-04,Direct,Mobile,Standard,United States,CA,California,Los Angeles,West
C100003,2023-09-14,Meta Ads,Tablet,Standard,United States,CO,Colorado,Boulder,West
C100004,2025-01-04,Organic Search,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100005,2025-05-28,Paid Search,Mobile,Standard,United States,CA,California,Los Angeles,West
C100006,2023-09-02,Organic Search,Mobile,Silver,United States,NC,North Carolina,Raleigh,South
C100007,2025-04-06,Influencer,Tablet,Standard,United States,CA,California,Los Angeles,West
C100008,2024-11-20,Referral,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100009,2023-10-31,Organic Search,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100010,2023-09-26,Influencer,Mobile,Silver,United States,CA,California,San Jose,West
C100011,2023-03-10,Meta Ads,Mobile,Silver,United States,FL,Florida,Miami,South
C100012,2025-04-20,Direct,Desktop,Standard,United States,MA,Massachusetts,Cambridge,Northeast
C100013,2025-02-25,Influencer,Mobile,Standard,United States,CO,Colorado,Denver,West
C100014,2023-12-16,Influencer,Tablet,Standard,United States,MI,Michigan,Grand Rapids,Midwest
C100015,2023-04-21,Paid Search,Desktop,Standard,United States,IL,Illinois,Springfield,Midwest
C100016,2024-01-28,Referral,Mobile,Standard,United States,OR,Oregon,Salem,West
C100017,2024-11-14,Paid Search,Mobile,Standard,United States,OR,Oregon,Portland,West
C100018,2024-03-16,Paid Search,Desktop,Standard,United States,NY,New York,New York,Northeast
C100019,2023-08-15,Direct,Mobile,Standard,United States,GA,Georgia,Atlanta,South
C100020,2025-04-06,Direct,Mobile,Standard,United States,FL,Florida,Miami,South
C100021,2024-08-24,Direct,Mobile,Standard,United States,TX,Texas,Dallas,South
C100022,2023-05-08,Direct,Mobile,Silver,United States,CO,Colorado,Boulder,West
C100023,2023-10-23,Email,Desktop,Standard,United States,TX,Texas,Austin,South
C100024,2023-05-19,Paid Search,Mobile,Silver,United States,FL,Florida,Orlando,South
C100025,2025-04-06,Referral,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100026,2023-02-26,Direct,Mobile,Silver,United States,NY,New York,Buffalo,Northeast
C100027,2023-06-02,Direct,Desktop,Silver,United States,CA,California,San Jose,West
C100028,2023-06-21,Direct,Desktop,Silver,United States,OH,Ohio,Columbus,Midwest
C100029,2025-05-01,Organic Search,Mobile,Standard,United States,TX,Texas,Houston,South
C100030,2025-05-12,Organic Search,Mobile,Standard,United States,CA,California,San Francisco,West
C100031,2025-03-28,Email,Mobile,Standard,United States,NY,New York,Rochester,Northeast
C100032,2023-05-13,Affiliate,Desktop,Silver,United States,WA,Washington,Bellevue,West
C100033,2023-02-09,Meta Ads,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100034,2023-05-01,Email,Mobile,Standard,United States,CA,California,San Jose,West
C100035,2024-04-12,Meta Ads,Mobile,Standard,United States,FL,Florida,Tampa,South
C100036,2024-04-27,Paid Search,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100037,2023-04-29,Paid Search,Mobile,Silver,United States,TX,Texas,Houston,South
C100038,2025-05-25,Meta Ads,Desktop,Standard,United States,GA,Georgia,Atlanta,South
C100039,2023-12-15,Paid Search,Desktop,Silver,United States,AZ,Arizona,Phoenix,West
C100040,2024-09-28,Meta Ads,Mobile,Standard,United States,MI,Michigan,Detroit,Midwest
C100041,2025-03-31,Organic Search,Mobile,Standard,United States,OH,Ohio,Columbus,Midwest
C100042,2024-09-29,Referral,Mobile,Standard,United States,MA,Massachusetts,Cambridge,Northeast
C100043,2023-06-17,Influencer,Mobile,Silver,United States,MA,Massachusetts,Boston,Northeast
C100044,2025-05-04,Affiliate,Mobile,Standard,United States,FL,Florida,Jacksonville,South
C100045,2025-04-05,Meta Ads,Mobile,Standard,United States,CA,California,Los Angeles,West
C100046,2024-10-02,Paid Search,Desktop,Standard,United States,OH,Ohio,Cleveland,Midwest
C100047,2025-03-14,Direct,Mobile,Standard,United States,TX,Texas,San Antonio,South
C100048,2024-11-29,Paid Search,Mobile,Standard,United States,CA,California,Sacramento,West
C100049,2023-04-23,Paid Search,Desktop,Standard,United States,FL,Florida,Jacksonville,South
C100050,2025-02-20,Email,Mobile,Standard,United States,TX,Texas,Houston,South
C100051,2023-11-18,Paid Search,Desktop,Silver,United States,CO,Colorado,Denver,West
C100052,2024-09-12,Paid Search,Mobile,Standard,United States,GA,Georgia,Atlanta,South
C100053,2025-05-06,Meta Ads,Mobile,Standard,United States,FL,Florida,Tampa,South
C100054,2024-11-19,Organic Search,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100055,2023-05-15,Organic Search,Desktop,Silver,United States,NJ,New Jersey,Newark,Northeast
C100056,2023-09-07,Paid Search,Mobile,Silver,United States,IL,Illinois,Springfield,Midwest
C100057,2023-12-06,Affiliate,Mobile,Standard,United States,NC,North Carolina,Raleigh,South
C100058,2023-04-10,Paid Search,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100059,2024-10-18,Email,Mobile,Standard,United States,IL,Illinois,Chicago,Midwest
C100060,2023-10-06,Referral,Mobile,Standard,United States,NC,North Carolina,Charlotte,South
C100061,2023-05-28,Organic Search,Mobile,Standard,United States,TX,Texas,Austin,South
C100062,2024-12-04,Meta Ads,Mobile,Standard,United States,GA,Georgia,Savannah,South
C100063,2023-02-24,Email,Mobile,Standard,United States,CA,California,San Francisco,West
C100064,2025-05-12,Meta Ads,Mobile,Standard,United States,MI,Michigan,Detroit,Midwest
C100065,2023-03-26,Referral,Mobile,Standard,United States,NJ,New Jersey,Newark,Northeast
C100066,2024-09-14,Influencer,Desktop,Standard,United States,MI,Michigan,Detroit,Midwest
C100067,2024-04-07,Direct,Mobile,Standard,United States,IL,Illinois,Springfield,Midwest
C100068,2024-09-30,Direct,Mobile,Standard,United States,OR,Oregon,Salem,West
C100069,2024-11-17,Email,Mobile,Standard,United States,TX,Texas,Dallas,South
C100070,2025-04-18,Paid Search,Mobile,Standard,United States,AZ,Arizona,Tempe,West
C100071,2023-02-03,Organic Search,Desktop,Standard,United States,MA,Massachusetts,Boston,Northeast
C100072,2023-12-08,Influencer,Desktop,Standard,United States,MA,Massachusetts,Cambridge,Northeast
C100073,2023-11-28,Paid Search,Desktop,Silver,United States,FL,Florida,Orlando,South
C100074,2023-06-24,Organic Search,Desktop,Standard,United States,TX,Texas,Dallas,South
C100075,2024-08-09,Meta Ads,Desktop,Standard,United States,NY,New York,Buffalo,Northeast
C100076,2024-05-23,Meta Ads,Mobile,Standard,United States,IL,Illinois,Springfield,Midwest
C100077,2025-04-07,Referral,Desktop,Standard,United States,TX,Texas,Austin,South
C100078,2024-04-19,Paid Search,Mobile,Standard,United States,AZ,Arizona,Tempe,West
C100079,2024-08-29,Paid Search,Desktop,Standard,United States,OH,Ohio,Cleveland,Midwest
C100080,2024-07-19,Organic Search,Mobile,Standard,United States,TX,Texas,Houston,South
C100081,2023-10-05,Direct,Desktop,Silver,United States,OR,Oregon,Salem,West
C100082,2023-07-22,Organic Search,Mobile,Silver,United States,GA,Georgia,Atlanta,South
C100083,2023-12-23,Paid Search,Mobile,Silver,United States,TX,Texas,Austin,South
C100084,2024-01-20,Direct,Mobile,Silver,United States,OR,Oregon,Salem,West
C100085,2024-11-20,Organic Search,Mobile,Standard,United States,TX,Texas,Dallas,South
C100086,2024-01-15,Email,Mobile,Standard,United States,IL,Illinois,Springfield,Midwest
C100087,2024-07-17,Organic Search,Desktop,Standard,United States,TX,Texas,Dallas,South
C100088,2024-11-20,Email,Mobile,Standard,United States,NY,New York,New York,Northeast
C100089,2023-09-29,Meta Ads,Mobile,Silver,United States,NJ,New Jersey,Jersey City,Northeast
C100090,2024-12-29,Referral,Mobile,Standard,United States,CA,California,San Francisco,West
C100091,2024-03-26,Affiliate,Mobile,Standard,United States,WA,Washington,Seattle,West
C100092,2025-04-30,Organic Search,Mobile,Standard,United States,TX,Texas,San Antonio,South
C100093,2023-07-26,Direct,Desktop,Standard,United States,FL,Florida,Tampa,South
