month,channel,spend,impressions,clicks,sessions,attributed_orders,attributed_revenue
2024-01-01,Paid Search,33693.25,573843,19176,17068,577,65188.1
2024-01-01,Meta Ads,20344.51,1335402,20104,17942,356,33186.27
2024-01-01,Email,7484.14,489787,21267,20044,930,110422.15
2024-01-01,Affiliate,11618.06,500815,10999,9693,244,26514.18
2024-01-01,Influencer,12419.54,498179,8674,8124,146,13201.86
2024-02-01,Paid Search,28598.81,427743,16935,15156,472,52073.67
2024-02-01,Meta Ads,20947.71,1625257,23360,21336,414,36606.99
2024-02-01,Email,7841.45,512258,22144,19645,908,108864.66
2024-02-01,Affiliate,10888.62,430056,9645,8505,244,24017.46
2024-02-01,Influencer,13362.43,529418,9381,8164,132,12439.75
2024-03-01,Paid Search,35162.71,671095,22981,20143,675,75980.34
2024-03-01,Meta Ads,23313.65,1932936,26200,25117,508,44205.4
2024-03-01,Email,9246.45,569245,25061,21965,1161,139262.38
2024-03-01,Affiliate,11794.13,536315,10792,9842,254,27650.83
2024-03-01,Influencer,12952.82,427855,8432,7597,127,12313.83
2024-04-01,Paid Search,28530.72,478133,18188,15942,534,62070.51
2024-04-01,Meta Ads,23407.99,1849439,27092,23617,421,41075.95
2024-04-01,Email,8307.84,595839,24248,20999,998,112014.12
2024-04-01,Affiliate,12721.04,519817,12194,11817,323,34098.79
2024-04-01,Influencer,16923.98,589551,11042,10678,169,15705.84
2024-05-01,Paid Search,36801.68,608222,23727,22641,748,85611.64
2024-05-01,Meta Ads,26300.28,2363140,31316,27856,569,56015.78
2024-05-01,Email,8862.35,739547,28816,27476,1230,152089.99
2024-05-01,Affiliate,12684.7,509102,11395,10195,288,28518.18
2024-05-01,Influencer,16051.72,534663,10366,9654,176,17296.25
2024-06-01,Paid Search,28922.77,547157,17964,17055,531,59451.5
2024-06-01,Meta Ads,21231.96,1401522,21178,19192,335,31962.55
2024-06-01,Email,9852.05,636481,27917,26561,1235,145248.48
2024-06-01,Affiliate,12260.94,526345,10512,9931,272,27264.84
2024-06-01,Influencer,14477.67,555222,10940,9870,181,17330.8
2024-07-01,Paid Search,30858.31,496844,18490,16411,504,57913.67
2024-07-01,Meta Ads,21222.17,1629565,22800,21461,432,40858.15
2024-07-01,Email,9089.02,671730,27203,25810,1336,154769.19
2024-07-01,Affiliate,11448.15,556201,11463,10174,262,25605.76
