order_item_id,order_id,order_date,customer_id,product_id,category,subcategory,quantity,unit_price,line_subtotal,item_discount_amount,line_total,unit_cost,line_cogs,line_gross_profit
OI1,O500001,2024-12-20,C100000,P1054,Fashion,Activewear,1,34.21,34.21,1.71,32.5,21.8,21.8,10.7
OI2,O500001,2024-12-20,C100000,P1030,Home,Decor,1,19.69,19.69,1.97,17.72,12.23,12.23,5.49
OI3,O500002,2024-05-18,C100001,P1079,Sports,Recovery,2,145.65,291.3,34.96,256.34,73.38,146.76,109.58
OI4,O500002,2024-05-18,C100001,P1029,Home,Decor,2,132.04,264.08,31.69,232.39,80.99,161.98,70.41
OI5,O500002,2024-05-18,C100001,P1022,Home,Kitchen,1,168.66,168.66,20.24,148.42,111.74,111.74,36.68
OI6,O500003,2024-05-23,C100001,P1014,Electronics,Computer Accessories,1,97.0,97.0,0.0,97.0,69.13,69.13,27.87
OI7,O500004,2024-09-18,C100001,P1011,Electronics,Computer Accessories,1,43.62,43.62,0.0,43.62,35.51,35.51,8.11
OI8,O500004,2024-09-18,C100001,P1016,Electronics,Mobile Accessories,1,151.52,151.52,0.0,151.52,103.82,103.82,47.7
OI9,O500005,2025-01-22,C100001,P1048,Fashion,Activewear,1,79.71,79.71,6.38,73.33,38.33,38.33,35.0
OI10,O500006,2025-01-23,C100001,P1024,Home,Bedding,2,44.18,88.36,7.07,81.29,21.82,43.64,37.65
OI11,O500007,2025-01-27,C100002,P1006,Electronics,Computer Accessories,3,22.87,68.61,5.49,63.12,14.37,43.11,20.01
OI12,O500008,2025-03-23,C100002,P1085,Sports,Recovery,2,20.52,41.04,3.28,37.76,10.36,20.72,17.04
OI13,O500008,2025-03-23,C100002,P1031,Home,Kitchen,1,79.15,79.15,6.33,72.82,44.82,44.82,28.0
OI14,O500008,2025-03-23,C100002,P1049,Fashion,Footwear,1,41.3,41.3,2.06,39.24,22.36,22.36,16.88
OI15,O500009,2025-04-08,C100002,P1051,Fashion,Activewear,1,30.87,30.87,2.47,28.4,13.97,13.97,14.43
OI16,O500009,2025-04-08,C100002,P1021,Home,Decor,1,33.53,33.53,1.68,31.85,21.95,21.95,9.9
OI17,O500009,2025-04-08,C100002,P1011,Electronics,Computer Accessories,3,43.46,130.38,10.43,119.95,35.51,106.53,13.42
OI18,O500009,2025-04-08,C100002,P1002,Electronics,Audio,1,79.52,79.52,3.98,75.54,57.07,57.07,18.47
OI19,O500010,2024-01-05,C100003,P1053,Fashion,Activewear,1,110.97,110.97,11.1,99.87,59.06,59.06,40.81
OI20,O500011,2024-01-31,C100003,P1020,Home,Bedding,1,28.04,28.04,0.0,28.04,14.15,14.15,13.89
OI21,O500011,2024-01-31,C100003,P1051,Fashion,Activewear,1,31.53,31.53,0.0,31.53,13.97,13.97,17.56
OI22,O500011,2024-01-31,C100003,P1048,Fashion,Activewear,1,79.81,79.81,0.0,79.81,38.33,38.33,41.48
OI23,O500011,2024-01-31,C100003,P1002,Electronics,Audio,1,76.4,76.4,0.0,76.4,57.07,57.07,19.33
OI24,O500012,2025-01-13,C100003,P1006,Electronics,Computer Accessories,1,21.24,21.24,2.55,18.69,14.37,14.37,4.32
OI25,O500012,2025-01-13,C100003,P1054,Fashion,Activewear,1,35.15,35.15,4.22,30.93,21.8,21.8,9.13
OI26,O500012,2025-01-13,C100003,P1034,Home,Bedding,1,99.86,99.86,11.98,87.88,51.23,51.23,36.65
OI27,O500013,2025-01-31,C100003,P1062,Beauty,Haircare,1,19.12,19.12,0.0,19.12,10.77,10.77,8.35
OI28,O500014,2025-02-18,C100003,P1027,Home,Storage,2,138.38,276.76,0.0,276.76,78.86,157.72,119.04
OI29,O500014,2025-02-18,C100003,P1061,Beauty,Haircare,1,60.34,60.34,0.0,60.34,31.69,31.69,28.65
OI30,O500014,2025-02-18,C100003,P1072,Sports,Outdoor,1,151.34,151.34,0.0,151.34,98.34,98.34,53.0
OI31,O500015,2025-06-03,C100003,P1029,Home,Decor,1,134.57,134.57,13.46,121.11,80.99,80.99,40.12
OI32,O500015,2025-06-03,C100003,P1047,Fashion,Outerwear,1,38.78,38.78,3.88,34.9,18.33,18.33,16.57
OI33,O500016,2025-06-05,C100004,P1030,Home,Decor,1,20.43,20.43,1.02,19.41,12.23,12.23,7.18
OI34,O500017,2024-03-21,C100006,P1010,Electronics,Audio,1,164.51,164.51,13.16,151.35,121.01,121.01,30.34
OI35,O500018,2024-06-27,C100006,P1057,Beauty,Haircare,1,67.19,67.19,8.06,59.13,30.02,30.02,29.11
OI36,O500019,2024-07-13,C100006,P1088,Sports,Hydration,1,99.01,99.01,11.88,87.13,61.57,61.57,25.56
OI37,O500019,2024-07-13,C100006,P1046,Fashion,Outerwear,2,41.59,83.18,9.98,73.2,24.22,48.44,24.76
OI38,O500020,2024-11-04,C100006,P1010,Electronics,Audio,1,159.63,159.63,15.96,143.67,121.01,121.01,22.66
OI39,O500020,2024-11-04,C100006,P1017,Electronics,Audio,3,158.67,476.01,47.6,428.41,108.89,326.67,101.74
OI40,O500021,2025-06-05,C100007,P1050,Fashion,Basics,2,42.83,85.66,0.0,85.66,22.11,44.22,41.44
OI41,O500021,2025-06-05,C100007,P1036,Home,Kitchen,1,43.65,43.65,0.0,43.65,27.15,27.15,16.5
OI42,O500022,2024-11-28,C100008,P1044,Fashion,Footwear,1,61.28,61.28,3.06,58.22,36.21,36.21,22.01
OI43,O500022,2024-11-28,C100008,P1035,Home,Kitchen,3,89.56,268.68,0.0,268.68,60.95,182.85,85.83
OI44,O500022,2024-11-28,C100008,P1080,Sports,Recovery,1,28.04,28.04,0.0,28.04,18.03,18.03,10.01
OI45,O500022,2024-11-28,C100008,P1022,Home,Kitchen,1,168.9,168.9,0.0,168.9,111.74,111.74,57.16
OI46,O500023,2024-01-30,C100009,P1082,Sports,Outdoor,1,21.1,21.1,1.06,20.04,13.3,13.3,6.74
OI47,O500023,2024-01-30,C100009,P1064,Beauty,Haircare,1,54.35,54.35,4.35,50.0,20.47,20.47,29.53
OI48,O500024,2024-06-18,C100009,P1035,Home,Kitchen,1,87.92,87.92,0.0,87.92,60.95,60.95,26.97
OI49,O500024,2024-06-18,C100009,P1016,Electronics,Mobile Accessories,1,152.5,152.5,0.0,152.5,103.82,103.82,48.68
OI50,O500025,2024-08-07,C100009,P1032,Home,Bedding,1,114.33,114.33,0.0,114.33,83.98,83.98,30.35
OI51,O500026,2024-02-25,C100010,P1039,Fashion,Basics,2,73.78,147.56,11.8,135.76,41.14,82.28,53.48
OI52,O500027,2024-08-09,C100010,P1058,Beauty,Tools,1,17.11,17.11,1.37,15.74,6.75,6.75,8.99
OI53,O500027,2024-08-09,C100010,P1022,Home,Kitchen,1,168.97,168.97,16.9,152.07,111.74,111.74,40.33
OI54,O500027,2024-08-09,C100010,P1049,Fashion,Footwear,1,40.68,40.68,3.25,37.43,22.36,22.36,15.07
OI55,O500028,2024-08-21,C100010,P1024,Home,Bedding,1,43.71,43.71,4.37,39.34,21.82,21.82,17.52
OI56,O500028,2024-08-21,C100010,P1018,Electronics,Computer Accessories,1,207.59,207.59,20.76,186.83,113.76,113.76,73.07
OI57,O500029,2024-01-24,C100011,P1060,Beauty,Skincare,1,32.6,32.6,1.63,30.97,15.31,15.31,15.66
OI58,O500029,2024-01-24,C100011,P1084,Sports,Outdoor,2,42.16,84.32,8.43,75.89,19.16,38.32,37.57
OI59,O500029,2024-01-24,C100011,P1020,Home,Bedding,2,25.83,51.66,4.13,47.53,14.15,28.3,19.23
OI60,O500030,2024-03-19,C100011,P1085,Sports,Recovery,1,21.94,21.94,1.1,20.84,10.36,10.36,10.48
OI61,O500031,2025-01-03,C100011,P1085,Sports,Recovery,1,22.04,22.04,2.2,19.84,10.36,10.36,9.48
OI62,O500031,2025-01-03,C100011,P1014,Electronics,Computer Accessories,2,100.07,200.14,0.0,200.14,69.13,138.26,61.88
OI63,O500032,2025-01-27,C100011,P1085,Sports,Recovery,1,21.83,21.83,2.62,19.21,10.36,10.36,8.85
OI64,O500033,2025-05-08,C100012,P1066,Beauty,Skincare,1,58.8,58.8,0.0,58.8,23.03,23.03,35.77
OI65,O500034,2025-05-23,C100012,P1042,Fashion,Activewear,1,44.68,44.68,0.0,44.68,27.67,27.67,17.01
OI66,O500034,2025-05-23,C100012,P1075,Sports,Hydration,1,24.13,24.13,0.0,24.13,12.82,12.82,11.31
OI67,O500035,2024-02-27,C100014,P1045,Fashion,Outerwear,2,122.79,245.58,0.0,245.58,68.88,137.76,107.82
OI68,O500035,2024-02-27,C100014,P1020,Home,Bedding,1,26.37,26.37,0.0,26.37,14.15,14.15,12.22
OI69,O500036,2024-05-18,C100014,P1053,Fashion,Activewear,1,107.58,107.58,10.76,96.82,59.06,59.06,37.76
OI70,O500036,2024-05-18,C100014,P1085,Sports,Recovery,1,21.43,21.43,1.07,20.36,10.36,10.36,10.0
OI71,O500037,2024-07-16,C100014,P1075,Sports,Hydration,1,24.4,24.4,0.0,24.4,12.82,12.82,11.58
OI72,O500038,2025-03-19,C100014,P1082,Sports,Outdoor,2,22.49,44.98,0.0,44.98,13.3,26.6,18.38
OI73,O500039,2024-01-19,C100015,P1079,Sports,Recovery,1,144.7,144.7,14.47,130.23,73.38,73.38,56.85
OI74,O500040,2024-09-16,C100015,P1033,Home,Bedding,1,106.93,106.93,10.69,96.24,73.21,73.21,23.03
OI75,O500040,2024-09-16,C100015,P1005,Electronics,Audio,1,146.46,146.46,14.65,131.81,92.22,92.22,39.59
OI76,O500041,2024-10-07,C100015,P1048,Fashion,Activewear,1,78.78,78.78,6.3,72.48,38.33,38.33,34.15
OI77,O500042,2024-03-21,C100016,P1088,Sports,Hydration,1,92.14,92.14,9.21,82.93,61.57,61.57,21.36
OI78,O500043,2024-12-12,C100017,P1022,Home,Kitchen,1,166.29,166.29,0.0,166.29,111.74,111.74,54.55
OI79,O500043,2024-12-12,C100017,P1028,Home,Storage,1,81.65,81.65,0.0,81.65,46.79,46.79,34.86
OI80,O500044,2024-10-24,C100018,P1002,Electronics,Audio,1,74.69,74.69,3.73,70.96,57.07,57.07,13.89
OI81,O500044,2024-10-24,C100018,P1030,Home,Decor,2,20.1,40.2,3.22,36.98,12.23,24.46,12.52
OI82,O500045,2025-03-09,C100018,P1016,Electronics,Mobile Accessories,1,150.66,150.66,12.05,138.61,103.82,103.82,34.79
OI83,O500045,2025-03-09,C100018,P1073,Sports,Hydration,2,54.13,108.26,8.66,99.6,25.06,50.12,49.48
OI84,O500046,2025-05-25,C100018,P1042,Fashion,Activewear,1,44.16,44.16,3.53,40.63,27.67,27.67,12.96
OI85,O500046,2025-05-25,C100018,P1018,Electronics,Computer Accessories,2,208.49,416.98,33.36,383.62,113.76,227.52,156.1
OI86,O500046,2025-05-25,C100018,P1004,Electronics,Audio,2,92.29,184.58,14.77,169.81,72.43,144.86,24.95
OI87,O500047,2024-05-16,C100019,P1009,Electronics,Wearables,1,135.07,135.07,13.51,121.56,75.62,75.62,45.94
OI88,O500047,2024-05-16,C100019,P1047,Fashion,Outerwear,1,39.08,39.08,3.91,35.17,18.33,18.33,16.84
OI89,O500048,2024-07-05,C100019,P1016,Electronics,Mobile Accessories,1,150.57,150.57,7.53,143.04,103.82,103.82,39.22
OI90,O500049,2024-12-25,C100019,P1009,Electronics,Wearables,1,141.27,141.27,0.0,141.27,75.62,75.62,65.65
OI91,O500049,2024-12-25,C100019,P1038,Fashion,Footwear,1,85.6,85.6,0.0,85.6,52.04,52.04,33.56
OI92,O500050,2025-04-30,C100019,P1051,Fashion,Activewear,1,31.91,31.91,0.0,31.91,13.97,13.97,17.94
OI93,O500051,2025-06-18,C100019,P1022,Home,Kitchen,1,161.25,161.25,0.0,161.25,111.74,111.74,49.51
OI94,O500052,2025-04-28,C100021,P1039,Fashion,Basics,1,74.96,74.96,0.0,74.96,41.14,41.14,33.82
OI95,O500052,2025-04-28,C100021,P1012,Electronics,Mobile Accessories,1,89.34,89.34,0.0,89.34,61.31,61.31,28.03
OI96,O500053,2024-07-06,C100022,P1010,Electronics,Audio,1,163.9,163.9,0.0,163.9,121.01,121.01,42.89
OI97,O500053,2024-07-06,C100022,P1048,Fashion,Activewear,1,78.94,78.94,0.0,78.94,38.33,38.33,40.61
OI98,O500054,2024-11-19,C100022,P1028,Home,Storage,2,78.0,156.0,15.6,140.4,46.79,93.58,46.82
OI99,O500054,2024-11-19,C100022,P1014,Electronics,Computer Accessories,1,95.2,95.2,7.62,87.58,69.13,69.13,18.45
OI100,O500055,2025-01-21,C100022,P1077,Sports,Outdoor,1,15.73,15.73,1.89,13.84,10.85,10.85,2.99
OI101,O500056,2025-02-24,C100022,P1013,Electronics,Wearables,1,94.83,94.83,0.0,94.83,53.71,53.71,41.12
OI102,O500057,2025-03-12,C100022,P1005,Electronics,Audio,1,150.01,150.01,15.0,135.01,92.22,92.22,42.79
OI103,O500058,2024-02-14,C100024,P1080,Sports,Recovery,1,27.98,27.98,2.8,25.18,18.03,18.03,7.15
OI104,O500059,2024-05-10,C100024,P1017,Electronics,Audio,2,163.38,326.76,0.0,326.76,108.89,217.78,108.98
OI105,O500060,2024-08-23,C100024,P1025,Home,Bedding,1,156.55,156.55,7.83,148.72,120.37,120.37,28.35
OI106,O500060,2024-08-23,C100024,P1004,Electronics,Audio,2,92.77,185.54,14.84,170.7,72.43,144.86,25.84
OI107,O500060,2024-08-23,C100024,P1085,Sports,Recovery,1,20.48,20.48,1.02,19.46,10.36,10.36,9.1
OI108,O500061,2024-11-13,C100024,P1004,Electronics,Audio,1,88.35,88.35,0.0,88.35,72.43,72.43,15.92
OI109,O500062,2024-12-03,C100024,P1041,Fashion,Footwear,1,18.91,18.91,0.0,18.91,9.44,9.44,9.47
OI110,O500062,2024-12-03,C100024,P1036,Home,Kitchen,1,41.62,41.62,0.0,41.62,27.15,27.15,14.47
OI111,O500062,2024-12-03,C100024,P1064,Beauty,Haircare,2,54.37,108.74,0.0,108.74,20.47,40.94,67.8
OI112,O500063,2025-01-31,C100024,P1002,Electronics,Audio,1,80.16,80.16,9.62,70.54,57.07,57.07,13.47
OI113,O500063,2025-01-31,C100024,P1017,Electronics,Audio,1,160.35,160.35,19.24,141.11,108.89,108.89,32.22
OI114,O500064,2025-03-12,C100024,P1074,Sports,Recovery,1,20.92,20.92,2.51,18.41,15.27,15.27,3.14
OI115,O500064,2025-03-12,C100024,P1010,Electronics,Audio,1,165.03,165.03,19.8,145.23,121.01,121.01,24.22
OI116,O500064,2025-03-12,C100024,P1038,Fashion,Footwear,1,86.88,86.88,10.43,76.45,52.04,52.04,24.41
OI117,O500065,2025-05-18,C100025,P1029,Home,Decor,1,136.38,136.38,0.0,136.38,80.99,80.99,55.39
OI118,O500065,2025-05-18,C100025,P1042,Fashion,Activewear,2,43.5,87.0,4.35,82.65,27.67,55.34,27.31
OI119,O500065,2025-05-18,C100025,P1083,Sports,Outdoor,1,82.59,82.59,0.0,82.59,59.28,59.28,23.31
OI120,O500066,2024-01-16,C100026,P1054,Fashion,Activewear,2,34.72,69.44,0.0,69.44,21.8,43.6,25.84
OI121,O500067,2024-01-22,C100026,P1005,Electronics,Audio,1,151.59,151.59,0.0,151.59,92.22,92.22,59.37
OI122,O500067,2024-01-22,C100026,P1024,Home,Bedding,1,44.1,44.1,0.0,44.1,21.82,21.82,22.28
OI123,O500068,2024-02-27,C100026,P1028,Home,Storage,1,83.75,83.75,4.19,79.56,46.79,46.79,32.77
OI124,O500068,2024-02-27,C100026,P1066,Beauty,Skincare,1,59.69,59.69,4.78,54.91,23.03,23.03,31.88
OI125,O500068,2024-02-27,C100026,P1011,Electronics,Computer Accessories,3,46.78,140.34,14.03,126.31,35.51,106.53,19.78
OI126,O500068,2024-02-27,C100026,P1053,Fashion,Activewear,1,113.37,113.37,9.07,104.3,59.06,59.06,45.24
OI127,O500069,2024-03-15,C100026,P1065,Beauty,Tools,2,36.33,72.66,3.63,69.03,21.18,42.36,26.67
OI128,O500069,2024-03-15,C100026,P1022,Home,Kitchen,1,159.36,159.36,15.94,143.42,111.74,111.74,31.68
OI129,O500069,2024-03-15,C100026,P1073,Sports,Hydration,1,52.76,52.76,0.0,52.76,25.06,25.06,27.7
OI130,O500070,2024-04-22,C100026,P1065,Beauty,Tools,2,34.42,68.84,6.88,61.96,21.18,42.36,19.6
OI131,O500071,2024-08-31,C100026,P1033,Home,Bedding,1,104.98,104.98,0.0,104.98,73.21,73.21,31.77
OI132,O500071,2024-08-31,C100026,P1067,Beauty,Skincare,1,68.86,68.86,0.0,68.86,20.63,20.63,48.23
OI133,O500072,2024-11-13,C100026,P1083,Sports,Outdoor,1,86.34,86.34,10.36,75.98,59.28,59.28,16.7
OI134,O500073,2025-06-28,C100026,P1078,Sports,Outdoor,1,137.7,137.7,0.0,137.7,75.39,75.39,62.31
OI135,O500074,2024-01-24,C100027,P1031,Home,Kitchen,1,79.44,79.44,0.0,79.44,44.82,44.82,34.62
OI136,O500075,2024-06-22,C100027,P1012,Electronics,Mobile Accessories,1,88.26,88.26,10.59,77.67,61.31,61.31,16.36
OI137,O500075,2024-06-22,C100027,P1043,Fashion,Activewear,1,131.92,131.92,15.83,116.09,54.23,54.23,61.86
OI138,O500075,2024-06-22,C100027,P1036,Home,Kitchen,2,43.74,87.48,10.5,76.98,27.15,54.3,22.68
OI139,O500076,2024-07-18,C100027,P1071,Sports,Hydration,2,36.71,73.42,5.87,67.55,24.03,48.06,19.49
OI140,O500076,2024-07-18,C100027,P1069,Beauty,Tools,1,80.37,80.37,4.02,76.35,33.05,33.05,43.3
OI141,O500076,2024-07-18,C100027,P1038,Fashion,Footwear,1,87.5,87.5,7.0,80.5,52.04,52.04,28.46
OI142,O500077,2024-08-08,C100027,P1051,Fashion,Activewear,2,31.49,62.98,0.0,62.98,13.97,27.94,35.04
OI143,O500078,2024-10-24,C100027,P1025,Home,Bedding,1,158.5,158.5,0.0,158.5,120.37,120.37,38.13
OI144,O500078,2024-10-24,C100027,P1009,Electronics,Wearables,1,137.61,137.61,0.0,137.61,75.62,75.62,61.99
OI145,O500078,2024-10-24,C100027,P1065,Beauty,Tools,1,35.46,35.46,1.77,33.69,21.18,21.18,12.51
OI146,O500078,2024-10-24,C100027,P1020,Home,Bedding,1,25.87,25.87,0.0,25.87,14.15,14.15,11.72
OI147,O500079,2025-04-09,C100027,P1010,Electronics,Audio,2,168.17,336.34,33.63,302.71,121.01,242.02,60.69
OI148,O500079,2025-04-09,C100027,P1057,Beauty,Haircare,1,65.31,65.31,5.22,60.09,30.02,30.02,30.07
OI149,O500080,2025-06-07,C100027,P1028,Home,Storage,1,80.15,80.15,4.01,76.14,46.79,46.79,29.35
OI150,O500081,2024-08-30,C100028,P1029,Home,Decor,2,130.43,260.86,26.09,234.77,80.99,161.98,72.79
OI151,O500081,2024-08-30,C100028,P1021,Home,Decor,1,34.18,34.18,3.42,30.76,21.95,21.95,8.81
