order_id,order_date,ship_date,delivery_date,customer_id,region,state,city,sales_channel,payment_method,shipping_type,coupon_code,order_status,is_first_order,customer_order_number,order_gross_sales,item_discount_amount,coupon_discount_amount,order_net_sales,shipping_fee,tax_amount,order_total,order_cogs,order_gross_profit
O500001,2024-12-20,2024-12-23,2024-12-25,C100000,West,Arizona,Phoenix,Website,Credit Card,Standard,,Delivered,True,1,53.9,3.68,0.0,50.22,5.99,4.71,60.92,34.03,16.19
O500002,2024-05-18,2024-05-20,2024-05-23,C100001,South,North Carolina,Raleigh,Mobile App,Credit Card,Express,VIP20,Delivered,True,1,724.04,86.89,19.11,618.04,6.0,43.48,667.52,420.48,197.56
O500003,2024-05-23,2024-05-26,2024-05-29,C100001,South,North Carolina,Raleigh,Mobile App,Credit Card,Standard,,Delivered,False,2,97.0,0.0,0.0,97.0,5.99,7.91,110.9,69.13,27.87
O500004,2024-09-18,2024-09-19,2024-09-23,C100001,South,North Carolina,Raleigh,Website,Credit Card,Same Day,,Delivered,False,3,195.14,0.0,0.0,195.14,13.0,17.14,225.28,139.33,55.81
O500005,2025-01-22,2025-01-24,2025-01-28,C100001,South,North Carolina,Raleigh,Marketplace,Credit Card,Standard,NEWYEAR10,Delivered,False,4,79.71,6.38,0.0,73.33,5.99,6.37,85.69,38.33,35.0
O500006,2025-01-23,2025-01-25,2025-01-29,C100001,South,North Carolina,Raleigh,Marketplace,Credit Card,Express,SUMMER10,Delivered,False,5,88.36,7.07,0.0,81.29,11.99,7.38,100.66,43.64,37.65
O500007,2025-01-27,2025-01-29,2025-02-03,C100002,West,California,Los Angeles,Website,Credit Card,Standard,WELCOME10,Delivered,True,1,68.61,5.49,1.89,61.23,5.99,4.65,71.87,43.11,18.12
O500008,2025-03-23,2025-03-24,2025-03-27,C100002,West,California,Los Angeles,Website,Credit Card,Standard,SUMMER10,Delivered,False,2,161.49,11.67,4.49,145.33,0.0,10.62,155.95,87.9,57.43
O500009,2025-04-08,2025-04-11,2025-04-15,C100002,West,California,Los Angeles,Website,Buy Now Pay Later,Standard,WELCOME10,Delivered,False,3,274.3,18.56,0.0,255.74,0.0,17.27,273.01,199.52,56.22
O500010,2024-01-05,2024-01-08,2024-01-11,C100003,West,Colorado,Boulder,Website,Buy Now Pay Later,Standard,SUMMER10,Delivered,True,1,110.97,11.1,3.0,96.87,5.99,8.47,111.33,59.06,37.81
O500011,2024-01-31,2024-02-02,2024-02-07,C100003,West,Colorado,Boulder,Website,PayPal,Standard,,Delivered,False,2,215.78,0.0,0.0,215.78,0.0,19.61,235.39,123.52,92.26
O500012,2025-01-13,2025-01-17,2025-01-21,C100003,West,Colorado,Boulder,Website,Credit Card,Standard,VIP20,Delivered,False,3,156.25,18.75,0.0,137.5,0.0,11.92,149.42,87.4,50.1
O500013,2025-01-31,2025-02-02,2025-02-06,C100003,West,Colorado,Boulder,Marketplace,Credit Card,Standard,FREESHIP,Delivered,False,4,19.12,0.0,0.0,19.12,0.0,1.54,20.66,10.77,8.35
O500014,2025-02-18,2025-02-22,2025-02-25,C100003,West,Colorado,Boulder,Website,Credit Card,Standard,,Delivered,False,5,488.44,0.0,0.0,488.44,0.0,35.5,523.94,287.75,200.69
O500015,2025-06-03,2025-06-05,2025-06-09,C100003,West,Colorado,Boulder,Website,Apple Pay,Same Day,BF2024,Delivered,False,6,173.35,17.34,4.68,151.33,13.0,13.82,178.15,99.32,52.01
O500016,2025-06-05,2025-06-07,2025-06-11,C100004,Midwest,Illinois,Chicago,Website,Credit Card,Standard,,Delivered,True,1,20.43,1.02,0.0,19.41,5.99,1.17,26.57,12.23,7.18
O500017,2024-03-21,2024-03-23,2024-03-26,C100006,South,North Carolina,Raleigh,Website,Buy Now Pay Later,Standard,SUMMER10,Delivered,True,1,164.51,13.16,7.57,143.78,0.0,10.19,153.97,121.01,22.77
O500018,2024-06-27,2024-07-01,2024-07-04,C100006,South,North Carolina,Raleigh,Website,Apple Pay,Express,VIP20,Delivered,False,2,67.19,8.06,0.0,59.13,11.99,5.06,76.18,30.02,29.11
O500019,2024-07-13,2024-07-16,2024-07-19,C100006,South,North Carolina,Raleigh,Website,Credit Card,Standard,VIP20,Delivered,False,3,182.19,21.86,4.81,155.52,0.0,11.86,167.38,110.01,45.51
O500020,2024-11-04,2024-11-06,2024-11-09,C100006,South,North Carolina,Raleigh,Marketplace,PayPal,Standard,BF2024,Delivered,False,4,635.64,63.56,17.16,554.92,0.0,44.82,599.74,447.68,107.24
O500021,2025-06-05,2025-06-08,2025-06-11,C100007,West,California,Los Angeles,Website,Credit Card,Express,,Delivered,True,1,129.31,0.0,0.0,129.31,6.0,10.42,145.73,71.37,57.94
O500022,2024-11-28,2024-11-30,2024-12-05,C100008,Midwest,Illinois,Chicago,Website,PayPal,Standard,FREESHIP,Delivered,True,1,526.9,3.06,0.0,523.84,0.0,35.82,559.66,348.83,175.01
O500023,2024-01-30,2024-02-02,2024-02-05,C100009,Midwest,Illinois,Chicago,Mobile App,Google Pay,Standard,SUMMER10,Delivered,True,1,75.45,5.41,2.1,67.94,5.99,5.56,79.49,33.77,34.17
O500024,2024-06-18,2024-06-19,2024-06-21,C100009,Midwest,Illinois,Chicago,Website,PayPal,Standard,,Delivered,False,2,240.42,0.0,0.0,240.42,0.0,14.06,254.48,164.77,75.65
